Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.1	0.0	-0.1	-0.1	217.6842	0.15159447	0.002855579	0.15482193	0.14499553	5000	3.1292437e-08	0.031780582	-0.004698829	-0.029484281	0.918938	0.016551737	0.20199999	4.0	60.054476499557495
1	-0.10000001	7.450581e-09	-0.1	-0.1	465.57144	-0.02124606	0.003554487	-0.013330005	-0.026021868	10000	8.940697e-09	0.00054294185	-0.0051403875	-6.0163205e-05	0.91775066	0.0074365297	0.10039999	79.0	120.3679609298706
2	0.14	0.43174067	1.0	-0.1	832.8	-0.014609796	0.002005897	-0.011742022	-0.019346956	15000	0.0	0.010871751	-0.0017393343	-0.0019127664	0.92126495	0.007859574	0.098799996	79.0	179.22031354904175
3	-0.083333336	0.0372678	0.0	-0.1	627.3333	0.023574512	0.045980383	0.09225854	-0.04369621	20000	7.7486035e-08	0.003865514	-0.0043956176	-0.0034121398	0.91056025	0.005090835	0.089200005	79.0	238.8359248638153
4	-0.060000002	0.048989795	0.0	-0.1	915.8	-0.009348436	0.004976575	-0.0029821806	-0.01562015	25000	1.1920929e-08	0.0003346359	-0.0021013052	-9.5713796e-05	0.9089798	0.017289268	0.25739998	6.0	293.99465227127075
5	-0.1	0.0	-0.1	-0.1	337.0	-0.0052563506	0.0024120251	-0.0007610172	-0.009900961	30000	-2.3841858e-08	0.0008154957	-0.0021373364	-0.0001996073	0.90767395	0.01510109	0.21799998	7.0	350.79174876213074
6	0.38	0.5075431	1.0	-0.1	750.2	-0.020564822	0.0061400984	-0.01181452	-0.027917251	35000	-2.9802323e-09	0.022387484	-0.0013441488	-0.0038519122	0.90586233	0.015435539	0.2074	8.0	406.03328227996826
7	0.05714285	0.3849198	1.0	-0.1	490.42856	0.029893862	0.01305882	0.06794439	0.012650836	40000	1.7881394e-08	0.010999331	-0.0018018249	-0.0021332414	0.90583456	0.015835091	0.22620001	8.0	462.11495304107666
8	0.083333336	0.4099458	1.0	-0.1	543.5	-0.015785422	0.029487373	0.036011863	-0.05197988	45000	1.4901161e-08	0.012354607	-0.0030179336	-0.0027422751	0.90584964	0.01631444	0.2688	6.0	518.1222879886627
9	-0.1	0.0	-0.1	-0.1	426.57144	0.038483214	0.024919653	0.08718598	0.0059282295	50000	-8.940697e-08	0.0034956615	-0.0050599137	-0.00283158	0.9050671	0.007098575	0.0666	79.0	577.8755180835724
10	-0.1	0.0	-0.1	-0.1	641.4	-0.015006704	0.0064716176	-0.0034990236	-0.022403724	55000	-8.940697e-09	0.00040724984	-0.0031061366	-3.2098633e-05	0.901728	0.007752256	0.07700001	79.0	636.8016908168793
11	0.083333336	0.4099458	1.0	-0.1	582.0	-0.011462958	0.004267544	-0.0030538589	-0.017136276	60000	1.1920929e-08	0.010938214	-0.0017789782	-0.0006910136	0.89527816	0.017062446	0.23839998	8.0	692.8547596931458
12	0.01	0.32999998	1.0	-0.1	423.7	0.012414949	0.0173336	0.0472191	-0.015154112	65000	2.9802323e-09	0.01178517	-0.0043965876	-0.0015534019	0.89547265	0.007511109	0.083	79.0	752.3841149806976
13	0.02222222	0.34569666	1.0	-0.1	471.33334	-0.0018980007	0.026591698	0.042117264	-0.044010434	70000	5.9604646e-09	0.01021912	-0.0022777386	-0.00014019021	0.86501867	0.0047158166	0.061399996	79.0	811.9383182525635
14	0.21428572	0.49692932	1.0	-0.1	465.0	0.0061571505	0.019821657	0.036087982	-0.05742206	75000	1.7881394e-08	0.020073656	-0.0030583232	-0.0017976246	0.85094434	0.019230865	0.2716	6.0	867.9899821281433
15	0.1	0.42426407	1.0	-0.1	355.63635	0.028388608	0.04246619	0.10951167	-0.037094843	80000	-8.940697e-09	0.016416423	-0.002944447	-0.0010469238	0.84955084	0.0065771616	0.070599996	79.0	928.2456312179565
16	-2.7093021e-09	0.31622776	1.0	-0.1	339.36365	0.03196215	0.06964288	0.1954938	-0.05238254	85000	1.7881394e-08	0.011803517	-0.0037481685	-0.0020046167	0.83392066	0.004595562	0.0588	79.0	988.7560396194458
17	0.1	0.42426407	1.0	-0.1	370.72726	-0.00038363895	0.03336914	0.08839298	-0.04711486	90000	7.450581e-09	0.018661965	-0.004424292	-0.00094086945	0.8252388	0.0071998723	0.0616	79.0	1049.3886787891388
18	-0.1	0.0	-0.1	-0.1	384.9091	-0.021466242	0.06371379	0.08683737	-0.1374974	95000	-2.3841858e-08	0.0048526563	-0.0042876927	-0.004004295	0.8077401	0.006631977	0.0654	79.0	1109.8876628875732
19	0.069230765	0.39688134	1.0	-0.1	339.92307	-0.021807887	0.002534282	-0.01625846	-0.025479477	100000	1.1920929e-08	0.022030752	-0.0018461763	-0.0021797824	0.7931963	0.015595173	0.21900001	7.0	1166.7332346439362
20	0.009999996	0.32999998	1.0	-0.1	385.9	0.01741048	0.028123764	0.06930152	-0.020668428	105000	0.0	0.0114372885	-0.0019899472	-0.0016804934	0.7926914	0.0076947855	0.10239999	79.0	1227.2730448246002
21	0.01	0.32999998	1.0	-0.1	388.2	0.017609963	0.035780713	0.089690566	-0.03243986	110000	0.0	0.011398435	-0.0031128924	-0.0009956193	0.7837211	0.00510807	0.0532	79.0	1286.931305885315
